rank,username,country,rating,title,score,tie_break,wins,draws,byes
1,mishanick,Serbia,3040,GM,10.0,80.0,9,2,0
2,Hikaru,United States,3223,GM,10.0,80.0,9,2,0
3,Duhless,Click here to see our stance on the war in Ukraine,3080,GM,9.5,65.0,9,1,0
4,FairChess_on_YouTube,Maldives,3127,GM,9.0,79.5,9,0,0
5,GM_dmitrij,Germany,3105,GM,9.0,74.5,8,2,0
6,lachesisQ,Click here to see our stance on the war in Ukraine,3161,GM,9.0,72.0,9,0,0
7,Murad_Ibrahimli,Azerbaijan,2904,IM,9.0,71.0,8,2,0
8,frederiksvane,Germany,3032,GM,9.0,68.5,9,0,0
9,vi_pranav,India,3158,GM,9.0,66.5,8,2,0
10,Msb2,Germany,3132,GM,8.5,75.5,7,3,0
11,Javokhir_Sindarov05,Uzbekistan,3088,GM,8.5,73.0,8,1,0
12,HansOnTwitch,United States,3161,GM,8.5,72.5,8,1,0
13,TigrVShlyape,United States,2902,GM,8.5,72.0,8,1,0
14,AryanTari,Norway,2970,GM,8.5,71.5,8,1,0
15,ViIIagra,Chile,2863,GM,8.5,70.5,8,1,0
16,FXDon77,China,2890,GM,8.5,70.0,7,3,0
17,Nitzan_Steinberg,Israel,2850,GM,8.5,70.0,8,1,0
18,sergoy,South Korea,2971,GM,8.5,69.0,8,1,0
19,Zhigalko_Sergei,International,2948,GM,8.5,67.5,8,1,0
20,Szparu,Poland,2909,IM,8.5,66.5,8,1,0
21,FGHSMN,India,2868,GM,8.5,66.0,8,1,0
22,MatthewG-p4p,Click here to see our stance on the war in Ukraine,2937,IM,8.0,74.0,8,0,0
23,scarabee43,France,2915,IM,8.0,72.0,8,0,0
24,gurelediz,Türkiye,3143,GM,8.0,70.5,8,0,0
25,pheonixking2000,Israel,2974,IM,8.0,70.5,7,2,0
26,theredking89,Mexico,2825,GM,8.0,70.0,8,0,0
27,DenLaz,Click here to see our stance on the war in Ukraine,3135,GM,8.0,67.5,8,0,0
28,shimastream,Click here to see our stance on the war in Ukraine,2881,GM,8.0,67.0,8,0,0
29,Volodar_Murzin,Click here to see our stance on the war in Ukraine,3001,GM,8.0,66.0,7,2,0
30,Durarbayli,Azerbaijan,2863,GM,8.0,65.5,8,0,0
31,Angry_Twin,Japan,2934,GM,8.0,65.0,8,0,0
32,rezamahdavi2008,Iran,2937,FM,8.0,65.0,7,2,0
33,viditchess,India,3031,GM,8.0,64.5,8,0,0
34,vladgoncharov,Click here to see our stance on the war in Ukraine,2597,NM,8.0,63.0,8,0,0
35,Prizant_academy,Click here to see our stance on the war in Ukraine,3183,FM,8.0,62.5,8,0,0
36,Lestofante90,Italy,2890,GM,8.0,61.0,7,2,0
37,JSPrepz,Norway,2799,GM,8.0,60.5,8,0,0
38,BirdMaster3000,Brazil,2639,GM,8.0,57.5,7,2,0
39,Anton_Demchenko,Slovenia,3021,GM,8.0,57.5,8,0,0
40,Iskusnyh,Click here to see our stance on the war in Ukraine,2601,GM,8.0,56.5,7,2,0
41,ReadySkate,Iran,2864,FM,8.0,48.5,8,0,0
42,bancsoo,Hungary,2843,GM,7.5,72.0,7,1,0
43,Individoom,Kazakhstan,2707,IM,7.5,70.0,7,1,0
44,tptagain,Spain,3031,GM,7.5,67.0,6,3,0
45,Adar_07,Türkiye,2729,IM,7.5,66.5,7,1,0
46,MightyGMpretender,Poland,3005,NM,7.5,65.0,7,1,0
47,Jumbo,Singapore,2892,GM,7.5,64.5,7,1,0
48,DominguezOnYoutube,United States,2968,GM,7.5,64.5,7,1,0
49,FormerProdigy,Czech Republic,2938,GM,7.5,64.0,7,1,0
50,FREDERICKtheMATE,Scotland,2723,FM,7.5,64.0,6,3,0
51,jguerramzllo,Australia,2632,GM,7.5,61.0,6,3,0
52,PeshkaCh,Ukraine,2860,FM,7.5,60.0,7,1,0
53,temus_galaktionov,Click here to see our stance on the war in Ukraine,2819,FM,7.5,59.0,7,1,0
54,Cayse,Ukraine,2817,GM,7.5,58.0,7,1,0
55,ilqar_74,Azerbaijan,2848,FM,7.5,55.5,7,1,0
56,InvisibleWarrior2252,International,2673,IM,7.5,54.5,7,1,0
57,Unkreativ3,Indonesia,2607,FM,7.5,54.5,7,1,0
58,ChessShop,Click here to see our stance on the war in Ukraine,2600,NM,7.5,54.5,7,1,0
59,ELECTRODYNAMIC_DRACULA,Isle of Man,2903,FM,7.5,53.0,7,1,0
60,BelyakovBogdan,Click here to see our stance on the war in Ukraine,2691,IM,7.5,53.0,7,1,0
61,annasargsyan_m,United States,2675,IM,7.5,51.5,7,1,0
62,Grukjr,Norway,2709,GM,7.0,80.0,7,0,0
63,bascheyaro,International,2769,FM,7.0,69.0,7,0,0
64,sokidze,Ukraine,2905,GM,7.0,69.0,7,0,0
65,rasmussvane,Germany,3000,GM,7.0,68.5,7,0,0
66,vovachesss,International,2763,CM,7.0,68.0,6,2,0
67,KNVB,Canada,2706,GM,7.0,67.0,7,0,0
68,Vanina1989,Click here to see our stance on the war in Ukraine,2676,GM,7.0,66.0,7,0,0
69,RojonR,Click here to see our stance on the war in Ukraine,2693,FM,7.0,65.0,7,0,0
70,PavelShkapenko,International,2750,IM,7.0,65.0,7,0,0
71,GeorgiosSouleidis,Greece,2728,IM,7.0,64.5,7,0,0
72,c63_amg,Canada,2835,IM,7.0,64.0,6,2,0
73,Evgeny81,Israel,2754,GM,7.0,63.0,7,0,0
74,starworld123,India,2911,GM,7.0,61.5,7,0,0
75,Salem-AR,United Arab Emirates,3091,GM,7.0,61.5,7,0,0
76,Lovetov,Click here to see our stance on the war in Ukraine,2586,FM,7.0,61.5,7,0,0
77,karinachess1,Click here to see our stance on the war in Ukraine,2615,IM,7.0,61.0,7,0,0
78,chessfatbear,China,2838,GM,7.0,60.5,6,2,0
79,Journey_to_GrandMaster_YT,Germany,2754,IM,7.0,60.5,6,2,0
80,Flaccidmoves,United States,2474,NM,7.0,60.5,6,2,0
81,Eagle_2019,Kazakhstan,2903,FM,7.0,59.5,7,0,0
82,SuperPower2011,Romania,2728,FM,7.0,59.5,7,0,0
83,DanylaBagrov,Ukraine,2573,CM,7.0,59.5,7,0,0
84,KogotBobra17,Click here to see our stance on the war in Ukraine,2702,CM,7.0,59.0,7,0,0
85,deribas12345,Click here to see our stance on the war in Ukraine,2617,IM,7.0,58.5,7,0,0
86,AljoschaFeuerstack,Germany,2636,IM,7.0,58.0,6,2,0
