rank,username,country,rating,title,score,tie_break,wins,draws,byes
1,GHANDEEVAM2003,India,3046,GM,9.5,81.0,9,1,0
2,amintabatabaei,Iran,3057,GM,9.5,75.0,8,3,0
3,Parhamov,Iran,3078,GM,9.0,76.5,9,0,0
4,Hikaru,United States,3223,GM,9.0,74.0,9,0,0
5,nihalsarin,Chile,3226,GM,9.0,62.5,8,2,0
6,ChristopherYoo,Tuvalu,3027,GM,9.0,60.5,8,2,0
7,Jospem,Mexico,3078,GM,8.5,75.5,8,1,0
8,Zhigalko_Sergei,International,2948,GM,8.5,74.5,8,1,0
9,Fandorine,Spain,2899,GM,8.5,74.0,8,1,0
10,AradNazari,Iran,2773,IM,8.5,64.5,8,1,0
11,Alphafischer2019,Argentina,2654,FM,8.5,59.0,8,1,0
12,Rud_Makarian,Click here to see our stance on the war in Ukraine,3072,IM,8.5,57.5,8,1,0
13,KaydenTroffChess,United States,2908,GM,8.0,69.0,8,0,0
14,FairChess_on_YouTube,Maldives,3127,GM,8.0,69.0,7,2,0
15,MikaelyanArman,United States,2889,GM,8.0,68.0,6,4,0
16,Njal28,Armenia,2958,GM,8.0,67.5,7,2,0
17,SRob2003,Ukraine,2636,FM,8.0,66.5,6,4,0
18,DanielNaroditsky,United States,3153,GM,8.0,66.0,7,2,0
19,hakanazeri2,Isle of Man,2641,FM,8.0,63.0,8,0,0
20,jcibarra,Spain,3034,GM,8.0,62.5,8,0,0
21,cassoulet,France,2821,GM,8.0,59.0,8,0,0
22,BardArtem,International,2833,FM,8.0,58.5,8,0,0
23,ameetghasi100,United Kingdom,2721,IM,8.0,57.0,8,0,0
24,Krakozia,Click here to see our stance on the war in Ukraine,2940,GM,7.5,79.0,6,3,0
25,German_Bazeev,Click here to see our stance on the war in Ukraine,2836,FM,7.5,70.5,6,3,0
26,Arifarsky,Indonesia,2750,NM,7.5,65.5,6,3,0
27,Szparu,Poland,2909,IM,7.5,64.5,7,1,0
28,Byniolus,Poland,2772,GM,7.5,62.5,6,3,0
29,snowlord,International,2928,FM,7.5,61.5,7,1,0
30,DrVelja,Serbia,3003,GM,7.5,58.0,7,1,0
31,mbojan,Bosnia-Herzegovina,2912,IM,7.5,57.5,7,1,0
32,Grossboss19,Ukraine,2600,CM,7.5,57.5,7,1,0
33,IlanSchnaider,Argentina,2803,FM,7.5,56.5,7,1,0
34,rquery98,India,2815,IM,7.5,55.0,7,1,0
35,eljanov,Ukraine,2880,GM,7.0,71.5,7,0,0
36,TigrVShlyape,United States,2902,GM,7.0,67.5,6,2,0
