rank,username,country,rating,title,score,tie_break,wins,draws,byes
1,Oleksandr_Bortnyk,United States,3109,GM,9.5,65.0,9,1,0
2,Hikaru,United States,3223,GM,9.0,74.5,8,2,0
3,ChristopherYoo,Tuvalu,3027,GM,9.0,71.0,8,2,0
4,nihalsarin,Chile,3226,GM,9.0,70.5,9,0,0
5,Msb2,Germany,3132,GM,9.0,69.5,8,2,0
6,FabianoCaruana,United States,3158,GM,9.0,69.5,8,2,0
7,sergoy,South Korea,2971,GM,9.0,65.0,9,0,0
8,Jospem,Mexico,3078,GM,8.5,72.0,8,1,0
9,FairChess_on_YouTube,Maldives,3127,GM,8.5,68.0,8,1,0
10,vugarrasulov,Azerbaijan,2990,GM,8.5,66.5,7,3,0
11,Grischuk,Click here to see our stance on the war in Ukraine,3073,GM,8.5,62.5,8,1,0
12,Arystanner,Kazakhstan,2851,IM,8.5,62.5,8,1,0
13,KaydenTroffChess,United States,2908,GM,8.5,59.5,8,1,0
14,Denis_Makhnyov,Kazakhstan,2980,GM,8.0,77.5,8,0,0
15,Firouzja2003,France,3156,GM,8.0,73.0,8,0,0
16,jcibarra,Spain,3034,GM,8.0,69.5,8,0,0
17,kuli4ik,Click here to see our stance on the war in Ukraine,2914,GM,8.0,68.0,7,2,0
18,mishanick,Serbia,3040,GM,8.0,67.0,8,0,0
19,ContrVersia,Lithuania,2909,GM,8.0,66.0,8,0,0
20,dretch,United States,2862,GM,8.0,65.0,8,0,0
21,Njal28,Armenia,2958,GM,8.0,65.0,6,4,0
22,Beca95,Serbia,2905,GM,8.0,63.5,7,2,0
23,reevecanada,Canada,2648,CM,8.0,57.0,8,0,0
24,Bauman_Guy,International,2977,FM,8.0,54.5,8,0,0
25,Anton_Demchenko,Slovenia,3021,GM,8.0,51.0,8,0,0
26,Zhigalko_Sergei,International,2948,GM,7.5,76.0,7,1,0
27,Harsha_Bharathakoti,India,2925,GM,7.5,73.0,7,1,0
28,BardArtem,International,2833,FM,7.5,68.0,7,1,0
29,Fandorine,Spain,2899,GM,7.5,67.0,7,1,0
30,Zurability,United States,2777,IM,7.5,64.0,7,1,0
31,alexrustemov,Click here to see our stance on the war in Ukraine,2939,GM,7.5,61.5,7,1,0
32,Polish_fighter3000,Poland,3057,GM,7.5,61.5,7,1,0
33,rookoco,United States,2559,GM,7.5,60.5,7,1,0
34,Iball95,Click here to see our stance on the war in Ukraine,2900,FM,7.5,60.5,6,3,0
35,Mikedannnn,Click here to see our stance on the war in Ukraine,2705,IM,7.5,58.5,7,1,0
36,artin10862,Iran,2943,FM,7.5,58.0,7,1,0
37,KNVB,Canada,2706,GM,7.5,57.5,7,1,0
38,Krakozia,Click here to see our stance on the war in Ukraine,2940,GM,7.5,56.5,7,1,0
39,Alexandr_Predke,Serbia,2882,GM,7.0,72.0,7,0,0
40,GMBenjaminBok,Netherlands,3003,GM,7.0,70.0,7,0,0
41,Vaathi_Coming,India,2950,GM,7.0,69.5,7,0,0
42,Abund,China,2694,NM,7.0,68.5,7,0,0
43,Ali_rastbod,Iran,2730,FM,7.0,66.5,7,0,0
44,StockFisher_HBK,Bolivia,2634,IM,7.0,64.5,6,2,0
45,Korchmar_Vasiliy,Click here to see our stance on the war in Ukraine,2724,IM,7.0,63.0,7,0,0
46,ameetghasi100,United Kingdom,2721,IM,7.0,62.0,7,0,0
47,carokannlover213,Poland,2780,FM,7.0,61.0,7,0,0
48,GM_dmitrij,Germany,3105,GM,7.0,61.0,6,2,0
49,BeanScreen,United States,2672,FM,7.0,60.0,7,0,0
50,Pomberito2,Argentina,2352,CM,7.0,59.0,7,0,0
51,prime-morty,Scotland,2588,FM,7.0,58.5,6,2,0
52,Alexei_Gubajdullin,International,2650,FM,7.0,58.5,7,0,0
53,djano,Poland,2622,FM,7.0,57.5,6,2,0
54,RETURNOFTHELAGGER,US Virgin Islands,2678,NM,7.0,56.0,7,0,0
55,Rodalquilar,Argentina,2792,GM,7.0,52.5,7,0,0
56,BigAl,England,2533,IM,7.0,47.5,7,0,0
57,Mikhail_Golubev,Ukraine,2761,GM,6.5,62.5,6,1,0
58,GoltsevDmitry2000,Click here to see our stance on the war in Ukraine,2900,FM,6.5,61.0,6,1,0
59,louis198,United Kingdom,2560,FM,6.5,61.0,6,1,0
60,RichardLeyvaP,Cuba,2661,IM,6.5,60.5,6,1,0
61,ArtemDyachuk,Ukraine,2691,FM,6.5,57.5,6,1,0
62,RIPOL,Belgium,2387,IM,6.5,57.0,6,1,0
63,lemures27,El Salvador,2365,IM,6.5,56.5,6,1,0
64,I_am_Javi,Spain,2767,IM,6.5,56.0,5,3,0
