rank,username,country,rating,title,score,tie_break,wins,draws,byes
1,Polish_fighter3000,Poland,3057,GM,9.5,65.5,9,1,0
2,GHANDEEVAM2003,India,3046,GM,9.0,76.0,7,4,0
3,FabianoCaruana,United States,3158,GM,9.0,70.0,9,0,0
4,rasmussvane,Germany,3000,GM,9.0,68.0,7,4,0
5,Msb2,Germany,3132,GM,9.0,67.5,8,2,0
6,Duhless,Click here to see our stance on the war in Ukraine,3080,GM,9.0,66.0,8,2,0
7,Oleksandr_Bortnyk,United States,3109,GM,8.5,71.5,8,1,0
8,VladimirKramnik,Click here to see our stance on the war in Ukraine,2994,GM,8.5,69.5,8,1,0
9,Denis_Makhnyov,Kazakhstan,2980,GM,8.5,65.0,8,1,0
10,DenLaz,Click here to see our stance on the war in Ukraine,3135,GM,8.0,74.0,7,2,0
11,Nitzan_Steinberg,Israel,2850,GM,8.0,73.5,8,0,0
12,bardiya_Daneshvar,Iran,3005,GM,8.0,70.5,7,2,0
13,joppie2,Netherlands,3055,GM,8.0,70.5,8,0,0
14,mishanick,Serbia,3040,GM,8.0,69.0,8,0,0
15,MrTattaglia,Hungary,2836,GM,8.0,66.5,8,0,0
16,vi_pranav,India,3158,GM,8.0,66.0,8,0,0
17,Jospem,Mexico,3078,GM,8.0,63.5,7,2,0
18,TigrVShlyape,United States,2902,GM,8.0,63.0,7,2,0
19,hansen,Canada,2963,GM,8.0,63.0,7,2,0
20,Rutricks,Spain,2692,IM,8.0,52.0,7,2,0
21,joshdaruca,United States,2725,GM,7.5,72.0,7,1,0
22,JSPrepz,Norway,2799,GM,7.5,67.0,7,1,0
23,rogapa,Cuba,2659,GM,7.5,62.0,7,1,0
24,TheBigBoss04,Colombia,2768,GM,7.5,61.5,7,1,0
25,BogdanDeac,Romania,3066,GM,7.5,61.0,7,1,0
26,Caracternin123,International,2771,GM,7.5,56.0,7,1,0
27,Andrei_Skvortsov,Montenegro,2838,CM,7.5,54.0,7,1,0
28,jaskol95,Uganda,2702,CM,7.5,50.5,7,1,0
29,Hikaru,United States,3223,GM,7.0,70.0,6,2,0
30,DanielNaroditsky,United States,3153,GM,7.0,68.0,5,4,0
31,FaustinoOro,Argentina,3000,FM,7.0,66.0,7,0,0
32,snowlord,International,2928,FM,7.0,64.0,6,2,0
33,FMVolodymyrSakun,Ukraine,2639,FM,7.0,63.5,7,0,0
34,TanitoluwaAps116,United States,2662,FM,7.0,63.5,6,2,0
35,Tartody,Spain,2656,GM,7.0,62.5,7,0,0
36,MatthewG-p4p,Click here to see our stance on the war in Ukraine,2937,IM,7.0,62.5,6,2,0
37,jcibarra,Spain,3034,GM,7.0,62.5,7,0,0
38,js20000,Slovenia,2752,GM,7.0,60.0,6,2,0
39,bocah_sakit,Indonesia,2658,GM,7.0,60.0,7,0,0
40,Krakozia,Click here to see our stance on the war in Ukraine,2940,GM,7.0,60.0,7,0,0
41,BeanScreen,United States,2672,FM,7.0,59.0,6,2,0
42,GMALMEIDA,Cuba,2657,GM,7.0,57.0,6,2,0
43,Abund,China,2694,NM,7.0,56.0,6,2,0
44,Aygehovit1992,International,2742,GM,7.0,56.0,7,0,0
45,AldokhinIvan,Click here to see our stance on the war in Ukraine,2615,IM,7.0,56.0,7,0,0
46,Kildepiotr,Poland,2694,IM,7.0,56.0,6,2,0
47,AlexPapasimakopoulos,Greece,2822,FM,7.0,55.0,6,2,0
48,zajka-molotok,Ukraine,2593,IM,7.0,53.0,6,2,0
49,Byniolus,Poland,2772,GM,7.0,47.5,7,0,0
50,SuperJesus88,Spain,2628,IM,7.0,46.0,7,0,0
51,artin10862,Iran,2943,FM,6.5,69.0,6,1,0
52,alexrustemov,Click here to see our stance on the war in Ukraine,2939,GM,6.5,64.5,5,3,0
53,Sergey85Rodchenkov,Click here to see our stance on the war in Ukraine,2614,IM,6.5,64.0,6,1,0
54,Fandorine,Spain,2899,GM,6.5,63.0,6,1,0
55,Ol_Bilych,Ukraine,2780,IM,6.5,61.5,6,1,0
56,attack2mateU,Canada,2724,GM,6.5,61.5,6,1,0
57,Coachpoker,United States,2781,IM,6.5,61.5,5,3,0
58,Alexei_Gubajdullin,International,2650,FM,6.5,60.0,6,1,0
59,chess94cu,Cuba,2647,IM,6.5,57.5,6,1,0
60,jacky72,Romania,2843,IM,6.5,57.0,6,1,0
61,Meri-Arabidze,Georgia,2673,IM,6.5,55.5,6,1,0
