rank,username,country,rating,title,score,tie_break,wins,draws,byes
1,Hikaru,United States,3223,GM,9.5,71.0,9,1,0
2,Duhless,Click here to see our stance on the war in Ukraine,3080,GM,9.0,77.0,8,2,0
3,Msb2,Germany,3132,GM,9.0,74.0,9,0,0
4,FabianoCaruana,United States,3158,GM,9.0,69.5,8,2,0
5,MagnusCarlsen,Norway,3251,GM,9.0,67.0,9,0,0
6,ChristopherYoo,Tuvalu,3027,GM,9.0,66.5,8,2,0
7,rasmussvane,Germany,3000,GM,9.0,65.0,7,4,0
8,Polish_fighter3000,Poland,3057,GM,9.0,63.5,8,2,0
9,MITerryble,Peru,3005,IM,9.0,61.0,9,0,0
10,GMBenjaminBok,Netherlands,3003,GM,8.5,72.0,7,3,0
11,Oleksandr_Bortnyk,United States,3105,GM,8.5,70.5,8,1,0
12,DominguezOnYoutube,United States,2968,GM,8.5,68.5,8,1,0
13,Sanan_Sjugirov,Hungary,3025,GM,8.5,63.5,8,1,0
14,jefferyx,United States,3122,GM,8.5,62.0,8,1,0
15,FairChess_on_YouTube,Maldives,3127,GM,8.5,58.5,8,1,0
16,Jospem,Mexico,3078,GM,8.0,77.0,8,0,0
17,artin10862,Iran,2943,FM,8.0,72.5,8,0,0
18,Szparu,Poland,2909,IM,8.0,71.5,8,0,0
19,LiemLe,Vietnam,3043,GM,8.0,71.0,8,0,0
20,Durarbayli,Azerbaijan,2863,GM,8.0,69.0,8,0,0
21,DrVelja,Serbia,3003,GM,8.0,67.5,8,0,0
22,sergoy,South Korea,2971,GM,8.0,65.0,8,0,0
23,lamomiajunior,Argentina,2704,IM,8.0,64.5,8,0,0
24,kingofthenil,France,2784,IM,8.0,63.0,7,2,0
25,frederiksvane,Germany,3032,GM,8.0,63.0,8,0,0
26,PenguinPacks,United States,2559,NM,8.0,59.0,7,2,0
27,Rud_Makarian,Click here to see our stance on the war in Ukraine,3072,IM,8.0,58.0,7,2,0
28,Grischuk,Click here to see our stance on the war in Ukraine,3073,GM,8.0,57.5,7,2,0
29,Zhigalko_Sergei,International,2948,GM,8.0,53.5,8,0,0
30,SpeedofLight0,United States,3172,GM,8.0,49.0,8,0,0
31,Mops_2004,Ukraine,2832,IM,7.5,68.0,5,5,0
32,AlexeiShirov,Spain,2831,GM,7.5,67.0,6,3,0
33,Rsnr,International,2900,IM,7.5,65.5,7,1,0
34,emiliocordova,Peru,2871,GM,7.5,65.5,7,1,0
35,TigrVShlyape,United States,2902,GM,7.5,65.0,7,1,0
36,temus_galaktionov,Click here to see our stance on the war in Ukraine,2819,FM,7.5,64.5,6,3,0
37,FaustinoOro,Argentina,3000,FM,7.5,64.0,7,1,0
38,jinbojinbo,China,2698,GM,7.5,64.0,7,1,0
39,lucasmito,Brazil,2716,FM,7.5,63.5,7,1,0
40,MatthewG-p4p,Click here to see our stance on the war in Ukraine,2937,IM,7.5,60.5,7,1,0
41,XDPS,Chile,2874,GM,7.5,59.0,7,1,0
42,angelgab3,Colombia,2682,FM,7.5,57.0,7,1,0
43,StoreySniper,Oman,2557,FM,7.5,56.0,7,1,0
44,MyDream003,International,2731,IM,7.5,55.0,7,1,0
45,hblanco,Cuba,2715,IM,7.5,53.5,7,1,0
46,KirAk47,International,2608,FM,7.5,53.0,7,1,0
47,vpsetter,Click here to see our stance on the war in Ukraine,2625,FM,7.5,52.5,7,1,0
48,nabukatnezarr,Türkiye,2658,IM,7.5,52.0,7,1,0
49,KuzubovYuriy,Ukraine,2962,GM,7.0,69.0,7,0,0
50,Kacparov,Poland,2952,IM,7.0,67.0,5,4,0
51,chessdjw,Germany,2764,GM,7.0,66.5,7,0,0
52,ameetghasi100,United Kingdom,2721,IM,7.0,66.5,7,0,0
53,Statham,South Africa,2723,CM,7.0,66.0,7,0,0
54,Flawless_Fighter,Click here to see our stance on the war in Ukraine,2701,IM,7.0,65.0,6,2,0
55,grzechu96,Poland,2763,GM,7.0,64.5,7,0,0
56,GoltsevDmitry2000,Click here to see our stance on the war in Ukraine,2900,FM,7.0,64.0,6,2,0
57,Evgeny81,Israel,2754,GM,7.0,63.5,7,0,0
58,Arystanner,Kazakhstan,2851,IM,7.0,63.5,6,2,0
59,Mikayel99,Armenia,2583,NM,7.0,62.5,6,2,0
60,super_emi_26,Sweden,2795,IM,7.0,62.0,6,2,0
61,Kildepiotr,Poland,2694,IM,7.0,61.5,6,2,0
62,ELECTRODYNAMIC_DRACULA,Isle of Man,2903,FM,7.0,61.0,6,2,0
63,Viktoker,Argentina,2570,FM,7.0,60.5,7,0,0
64,Anton_Demchenko,Slovenia,3021,GM,7.0,60.5,7,0,0
65,MarkusRagger,Austria,2808,GM,7.0,60.5,7,0,0
66,Hamisandwich,Moldova,2805,GM,7.0,60.0,7,0,0
67,ozates,Türkiye,2669,FM,7.0,59.5,6,2,0
68,ReadySkate,Iran,2864,FM,7.0,59.0,7,0,0
69,Ramil_Faizrakhmanov,Click here to see our stance on the war in Ukraine,2900,IM,7.0,58.5,6,2,0
70,CarlosjPineror,Venezuela,2726,IM,7.0,58.0,6,2,0
71,Aygehovit1992,International,2742,GM,7.0,58.0,7,0,0
72,KaydenTroffChess,United States,2908,GM,7.0,57.5,6,2,0
73,DishonorOnYourCow,Monaco,2500,WGM,7.0,55.5,7,0,0
74,MKlose11,Spain,2736,FM,7.0,53.5,7,0,0
75,Gangster-accountant01,Iran,2628,FM,7.0,52.0,6,2,0
76,Meri-Arabidze,Georgia,2673,IM,7.0,51.5,6,2,0
77,Magicmaster17,Hungary,2887,GM,7.0,51.5,6,2,0
78,Bykov_Egor,Hungary,2629,FM,7.0,48.5,7,0,0
79,betta2004,Italy,2463,FM,7.0,44.5,6,2,0
80,azikom,Azerbaijan,2716,GM,7.0,38.5,7,0,0
81,chenxiaoyuer,United States,2855,IM,6.5,69.0,6,1,0
82,Agibileg,Mongolia,2712,IM,6.5,68.0,6,1,0
83,Orest_Vovk,Ukraine,2553,FM,6.5,65.0,6,1,0
84,Kosak12,Poland,2869,IM,6.5,65.0,6,1,0
85,Kira170,Brazil,2746,GM,6.5,63.5,6,1,0
86,NikitaShandrygin,Serbia,2727,FM,6.5,62.0,6,1,0
87,Individoom,Kazakhstan,2707,IM,6.5,61.0,6,1,0
88,volcanoexplorer,United States,2769,FM,6.5,61.0,6,1,0
89,GothamChess,United States,2719,IM,6.5,58.5,6,1,0
90,GelmanAlexander,Germany,2721,IM,6.5,58.5,6,1,0
91,alexrustemov,Click here to see our stance on the war in Ukraine,2931,GM,6.5,58.0,6,1,0
92,m_ezat,Egypt,2603,IM,6.5,54.5,6,1,0
93,WPWPWP-2015,Poland,2515,FM,6.5,54.5,6,1,0
94,TanitoluwaAps116,United States,2662,FM,6.5,52.0,6,1,0
95,Bryanl106,United States,2707,NM,6.5,48.5,6,1,0
96,xasid81,Israel,2659,IM,6.5,48.5,6,1,0
97,Dolphin_2010,Turks and Caicos Islands,2823,FM,6.5,48.0,6,1,0
98,yaguigor,Click here to see our stance on the war in Ukraine,2555,GM,6.5,46.0,6,1,0
99,Byniolus,Poland,2772,GM,6.5,44.5,6,1,0
100,HajiyevKanan,Azerbaijan,2608,FM,6.5,40.0,6,1,0
101,oskariot,Poland,2790,GM,6.0,70.0,5,2,0
102,Leebit02,Kazakhstan,2629,FM,6.0,65.5,5,2,0
103,Rital44,France,2689,IM,6.0,62.0,6,0,0
104,maximnovik,Lithuania,2569,GM,6.0,60.0,6,0,0
105,Abund,China,2694,NM,6.0,60.0,6,0,0
106,karinachess1,Click here to see our stance on the war in Ukraine,2615,IM,6.0,59.5,6,0,0
107,OK97,Israel,2802,GM,6.0,58.0,4,4,0
108,RantomOpening,Norway,2738,CM,6.0,57.5,6,0,0
109,Mikhail_Golubev,Ukraine,2761,GM,6.0,57.5,6,0,0
